- Noain-Valle-de-ElorzoNoain,"42.817991,-1.644215"
- Obanos,"42.6617120620277,-1.7841443144"
- Ochagavia,"42.948734392931,-1.07439716028"
- Oco,"42.6434888591902,-2.1604613600"
- Odieta,"42.9314977927192,-1.6459192281"
- Oitz,"43.0929522624535,-1.6909232883"
- Olaibar,"42.9000183681804,-1.6032317068"
- OlaztioOlazagutia,"42.8759641023825,-2.1982955932"
- Olejua,"42.6233185392418,-2.1397478365"
- Olite,"42.4474124498672,-1.6798044900"
- Ollo,"42.8611893867928,-1.8494113286"
- Oloriz,"42.6418188971207,-1.5967679085"
- Olza,"42.8189112419886,-1.7484331476"
- Orbaitzeta,"42.9970540723503,-1.2131781167"
- Orbara,"42.9728963509138,-1.2463442234"
- Orcoyen,"42.817991,-1.644215"
- Orisoain,"42.6013270135892,-1.5979239777"
- Oronz,"42.8733904068487,-1.0692166055"
- Oroz-Betelu,"42.9024146290609,-1.3050482029"
- OrreagaoRoncesvalles,"43.0189421821045,-1.3073077137"
- Oteiza,"42.5736787769813,-1.9483936615"
- PamplonaoIruna,"42.817991,-1.644215"
- Peralta,"42.3604266400219,-1.8109763741"
- Petilla-de-Aragon,"42.44527389023,-1.117352059630"
- Piedramillera,"42.6125857655602,-2.2058219463"
- Pitillas,"42.4213662239221,-1.5778250182"
- Puente-la-ReinaoGares,"42.6949592314867,-1.8199270837"
- Pueyo,"42.5671090734524,-1.6574564806"
- Ribaforada,"41.9918994762144,-1.5141069556"
- Romanzado,"42.6795740774494,-1.1965924754"
- RoncaloErronkari,"42.8104100062586,-0.9382976120"
- Sada,"43.3664678134276,-1.2706058166"
- Saldias,"43.0929369125505,-1.7729170386"
- Salinas-de-Oro,"42.7778142862312,-1.8787634906"
- San-Adrian,"42.3465371774849,-1.9225552530"
- San-Martin-de-Unx,"42.5252474901861,-1.5713873718"
- SanguesaoZangoza,"42.817991,-1.644215"
- Sansol,"42.5377359040769,-2.2561453444"
